t;Q
30.09.2008;380
1.10.2008;295
2.10.2008;217
3.10.2008;180
4.10.2008;180
5.10.2008;145
6.10.2008;145
7.10.2008;145
8.10.2008;145
9.10.2008;145
10.10.2008;113
11.10.2008;145
12.10.2008;145
13.10.2008;145
14.10.2008;145
15.10.2008;113
16.10.2008;113
17.10.2008;113
18.10.2008;113
19.10.2008;113
20.10.2008;180
21.10.2008;180
22.10.2008;255
23.10.2008;425
24.10.2008;425
25.10.2008;380
26.10.2008;380
27.10.2008;337
28.10.2008;337
29.10.2008;295
30.10.2008;255
31.10.2008;2915
1.11.2008;9794
2.11.2008;9236
3.11.2008;7667
4.11.2008;6477
5.11.2008;5602
6.11.2008;4416
7.11.2008;3708
8.11.2008;3378
9.11.2008;2915
10.11.2008;2626
11.11.2008;2353
12.11.2008;2096
13.11.2008;1973
14.11.2008;1740
15.11.2008;1629
16.11.2008;1522
17.11.2008;1358
18.11.2008;1296
19.11.2008;1234
20.11.2008;1234
21.11.2008;1173
22.11.2008;1113
23.11.2008;1113
24.11.2008;1113
25.11.2008;1113
26.11.2008;1054
27.11.2008;996
28.11.2008;939
29.11.2008;1854
30.11.2008;5394
1.12.2008;6477
2.12.2008;6031
3.12.2008;4795
4.12.2008;4053
5.12.2008;3878
6.12.2008;3708
7.12.2008;3378
8.12.2008;3378
9.12.2008;4416
10.12.2008;4990
11.12.2008;4990
12.12.2008;4603
13.12.2008;4233
14.12.2008;9236
15.12.2008;9513
16.12.2008;8432
17.12.2008;7178
18.12.2008;5815
19.12.2008;5190
20.12.2008;4233
21.12.2008;3541
22.12.2008;3065
23.12.2008;2915
24.12.2008;2626
25.12.2008;2487
26.12.2008;2353
27.12.2008;2222
28.12.2008;2222
29.12.2008;2353
30.12.2008;2487
31.12.2008;2353
1.01.2009;2353
2.01.2009;2222
3.01.2009;3065
4.01.2009;5815
5.01.2009;6252
6.01.2009;5815
7.01.2009;4990
8.01.2009;4233
9.01.2009;3541
10.01.2009;3220
11.01.2009;2915
12.01.2009;2626
13.01.2009;2487
14.01.2009;2353
15.01.2009;2222
16.01.2009;2096
17.01.2009;2096
18.01.2009;1973
19.01.2009;1973
20.01.2009;2626
21.01.2009;3220
22.01.2009;3220
23.01.2009;6031
24.01.2009;9513
25.01.2009;9513
26.01.2009;8964
27.01.2009;8173
28.01.2009;7178
29.01.2009;6477
30.01.2009;6252
31.01.2009;5815
1.02.2009;8173
2.02.2009;13175
3.02.2009;12520
4.02.2009;12520
5.02.2009;15971
6.02.2009;17477
7.02.2009;15606
8.02.2009;13508
9.02.2009;11264
10.02.2009;9513
11.02.2009;7918
12.02.2009;6940
13.02.2009;6477
14.02.2009;5815
15.02.2009;4990
16.02.2009;4416
17.02.2009;3878
18.02.2009;3541
19.02.2009;3220
20.02.2009;2915
21.02.2009;2915
22.02.2009;2768
23.02.2009;2626
24.02.2009;2487
25.02.2009;2487
26.02.2009;2353
27.02.2009;2222
28.02.2009;2222
1.03.2009;2096
2.03.2009;2096
3.03.2009;2222
4.03.2009;2768
5.03.2009;4990
6.03.2009;7420
7.03.2009;6940
8.03.2009;5815
9.03.2009;5190
10.03.2009;4416
11.03.2009;3708
12.03.2009;3220
13.03.2009;3065
14.03.2009;2915
15.03.2009;2768
16.03.2009;2626
17.03.2009;2626
18.03.2009;2487
19.03.2009;2353
20.03.2009;2222
21.03.2009;2222
22.03.2009;2096
23.03.2009;1973
24.03.2009;1854
25.03.2009;1854
26.03.2009;1740
27.03.2009;1629
28.03.2009;1629
29.03.2009;1629
30.03.2009;1522
31.03.2009;1522
1.04.2009;1358
2.04.2009;1296
3.04.2009;1296
4.04.2009;1234
5.04.2009;1234
6.04.2009;1173
7.04.2009;1173
8.04.2009;1113
9.04.2009;1054
10.04.2009;1054
11.04.2009;1054
12.04.2009;996
13.04.2009;996
14.04.2009;996
15.04.2009;939
16.04.2009;939
17.04.2009;939
18.04.2009;939
19.04.2009;996
20.04.2009;883
21.04.2009;773
22.04.2009;773
23.04.2009;720
24.04.2009;720
25.04.2009;720
26.04.2009;720
