t;Prec;Temp;PET
732221;0;22.6;3.59
732222;0;22;3.46
732223;0;21.6;3.37
732224;0;21.4;3.32
732225;0;20.2;3.08
732226;0;20.4;3.1
732227;0;22;3.4
732228;16.5;18.2;2.67
732229;9.3;13.6;1.84
732230;3.1;12.7;1.69
732231;0;12;1.56
732232;0;12.6;1.66
732233;0;13.6;1.82
732234;0;11.7;1.5
732235;0;11.5;1.46
732236;0;12.6;1.64
732237;0;12.8;1.66
732238;14.8;16.2;2.23
732239;82.5;15.8;2.15
732240;7.8;16.2;2.21
732241;0.5;16.8;2.31
732242;0;18.4;2.58
732243;0;21.8;3.19
732244;0;19.3;2.73
732245;2.8;14.6;1.91
732246;0.6;11.1;1.35
732247;83.7;12.6;1.58
732248;1.9;10.6;1.26
732249;13.8;8.9;1.01
732250;0.5;8.2;0.91
732251;0.3;9.6;1.11
732252;0.4;9.6;1.1
732253;0;10;1.16
732254;0;10.6;1.24
732255;0.6;11;1.3
732256;3.5;10;1.15
732257;0.3;11.7;1.39
732258;0;14.4;1.8
732259;0;15.6;1.99
732260;0;14;1.73
732261;0;10.6;1.22
732262;0;6.6;0.67
732263;0;5.1;0.48
732264;0;7.9;0.83
732265;0;7.5;0.78
732266;1.2;7.3;0.75
732267;0;7;0.71
732268;0;8.5;0.9
732269;0;8.2;0.86
732270;0;9.6;1.05
732271;0;12;1.39
732272;0;10.6;1.18
732273;0;10;1.1
732274;0;10.3;1.14
732275;0;10.8;1.2
732276;0;10.6;1.17
732277;0;9.5;1.02
732278;0;9.5;1.02
732279;0;10.2;1.11
732280;0.1;12.4;1.42
732281;5;11.3;1.26
732282;27.2;7.4;0.74
732283;21.1;6.6;0.64
732284;16.6;6.7;0.65
732285;6;5;0.45
732286;0.2;6.8;0.66
732287;0.1;7;0.68
732288;0;7.1;0.69
732289;0;5.4;0.49
732290;0;6.2;0.58
732291;0;7.4;0.73
732292;0;9.2;0.96
732293;0;9.7;1.02
732294;0;11.4;1.25
732295;0;10.6;1.14
732296;0;8.6;0.88
732297;0;7.6;0.75
732298;0;8.4;0.85
732299;0;8.6;0.88
732300;0;9.8;1.03
732301;0;5.6;0.51
732302;0;5.6;0.51
732303;0;5.2;0.47
732304;0;7;0.68
732305;0;6;0.56
732306;0;5.1;0.45
732307;0;1.9;0.13
732308;0;1.2;0.07
732309;0;2;0.14
732310;5.1;7.4;0.73
732311;0;5.9;0.55
732312;0;7.4;0.73
732313;0;9.6;0.82
732314;0;10.2;0.89
732315;0;8.8;0.72
732316;0;6.7;0.48
732317;0;6.9;0.5
732318;0;8.5;0.69
732319;0;9.4;0.8
732320;0;6.7;0.48
732321;0;7;0.52
732322;0;5.4;0.35
732323;0;5.8;0.39
732324;0;7.3;0.55
732325;0;8.6;0.71
732326;0;9;0.76
732327;0;9.4;0.81
732328;0;10.8;0.99
732329;0;9.6;0.84
732330;0;8.9;0.75
732331;0;6.8;0.51
732332;0;10.6;0.97
732333;0;11.9;1.16
732334;0;9.1;0.78
732335;0;7.3;0.57
732336;0;6.4;0.47
732337;0;2.4;0.11
732338;0;1;0.03
732339;0.1;-4.3;0
732340;0.1;-1.2;0
732341;0;2.2;0.1
732342;0;3.2;0.17
732343;0;3.4;0.19
732344;0;4.6;0.29
732345;0;6.6;0.5
732346;0;6.2;0.46
732347;0;4.6;0.3
732348;0.3;5.6;0.4
732349;9;3.8;0.22
732350;7.4;2.7;0.14
732351;0;4.3;0.27
732352;0;5.9;0.43
732353;0;7.2;0.58
732354;0;6.5;0.5
732355;0;7.6;0.63
732356;0;10.3;0.99
732357;0;7.8;0.66
732358;0;4.6;0.31
732359;0;3.2;0.18
732360;0;2.6;0.13
732361;0;4.6;0.31
732362;0;5.2;0.37
732363;0;5.2;0.37
732364;0.1;6.2;0.48
732365;0;2.9;0.16
732366;1;6.2;0.49
732367;0;5.4;0.4
732368;0.1;5.2;0.38
732369;0;2.8;0.15
732370;25.6;4.8;0.34
732371;34.3;4.6;0.32
732372;8.8;3;0.17
732373;2.1;4.1;0.27
732374;10.8;4.6;0.32
732375;26.8;1.6;0.07
732376;0;1.6;0.07
732377;0;4.6;0.33
732378;0.1;3.8;0.25
732379;0;4;0.27
732380;0;7.8;0.71
732381;2.2;9.4;0.94
732382;0.2;11;1.19
732383;1.6;9.2;0.92
732384;0;9;0.89
732385;0;11.2;1.24
732386;0;11.4;1.28
732387;0;13.2;1.59
732388;0;13.4;1.63
732389;0;14;1.74
732390;0;14.8;1.9
732391;0;16.5;2.24
732392;4.4;15.2;1.99
732393;21.6;12.6;1.51
732394;0;11.7;1.36
732395;0;13.4;1.67
732396;0;12.8;1.56
732397;25.7;9.1;0.95
732398;0;9.6;1.03
732399;0;10;1.1
732400;3.4;11.6;1.37
732401;0;13.1;1.65
732402;0;15.2;2.05
732403;0;14.2;1.86
732404;7.6;10.2;1.15
732405;0.2;8.4;0.87
732406;0.1;10.4;1.19
732407;0;11.2;1.33
732408;0;14.2;1.89
732409;0;16.2;2.31
732410;0;11.4;1.38
732411;0.4;8.2;0.85
732412;0;8.6;0.92
732413;0;10;1.15
732414;0;11.9;1.49
732415;0;11.8;1.47
732416;0;10.9;1.32
732417;0;8.3;0.88
732418;0;7.9;0.82
732419;0;10.6;1.27
732420;7.3;9.4;1.07
732421;0;9.8;1.14
732422;0;11.4;1.43
732423;0;14;1.94
732424;0;15;2.15
732425;0;12.6;1.67
732426;0;12.2;1.6
732427;0;12.9;1.74
732428;0;14.8;2.14
732429;0;16;2.4
732430;0;16.4;2.5
732431;0;19.2;3.16
732432;0;17.2;2.69
732433;0;15.6;2.34
732434;0;15.3;2.28
732435;0;16;2.44
732436;0;18;2.91
732437;0;17.8;2.87
732438;0;16.2;2.5
732439;0;17.2;2.74
732440;0;19.4;3.28
732441;0;19;3.19
732442;0;15.2;2.3
732443;0;14.9;2.24
732444;27.9;11.6;1.55
732445;3.6;11.2;1.48
732446;0;12.2;1.68
732447;0;13.8;2.02
732448;2.2;11.2;1.49
732449;0;11.8;1.61
732450;0;14.8;2.25
732451;0;17;2.76
732452;0;18;3.01
732453;0;18.6;3.17
732454;0;15.8;2.5
732455;0;16;2.55
732456;0;19.3;3.36
732457;0;21;3.81
732458;0;20.8;3.77
732459;0;19.4;3.4
732460;0;20.2;3.62
732461;0.6;19.1;3.34
732462;2.1;16.2;2.62
732463;0.1;17.2;2.87
732464;0;17;2.82
732465;0;18.5;3.2
732466;0;20;3.59
732467;0;21.4;3.97
732468;0;22.4;4.26
732469;0;23.2;4.49
732470;0;22.4;4.26
732471;0;22.2;4.21
732472;0;22.2;4.22
732473;0;23.2;4.5
732474;0;23.6;4.62
732475;0;16.2;2.66
732476;0;14.4;2.24
732477;0;16.3;2.68
732478;0;19.4;3.47
732479;0;21.6;4.07
732480;0;23.6;4.64
732481;0;22.6;4.35
732482;0;23;4.47
732483;0;24.2;4.81
732484;0;25;5.05
732485;0;26.8;5.62
732486;0;24.8;4.99
732487;0;21.2;3.96
732488;0;19.6;3.53
732489;0;19.4;3.48
732490;0;19.2;3.42
732491;0;18.8;3.32
732492;0;18.4;3.21
732493;0;19.6;3.53
732494;0;22.1;4.21
732495;0;23.1;4.49
732496;0;24.8;4.98
732497;0;21;3.9
732498;0;22.3;4.25
732499;0;22.5;4.31
732500;0;23.8;4.67
732501;0;22.8;4.38
732502;0;22.2;4.21
732503;0;22.1;4.18
732504;0;22.8;4.37
732505;0;24;4.71
732506;0;23.9;4.67
732507;0;25;4.99
732508;0;26.5;5.43
732509;0;26.8;5.53
732510;0;24.8;4.91
732511;0;23.2;4.45
732512;0;24.2;4.72
732513;0;27.9;5.88
732514;0;27;5.56
732515;0;24.2;4.7
732516;0;22.6;4.24
732517;0;21.3;3.88
732518;0;19.2;3.33
732519;0;19.4;3.37
732520;0;18.9;3.24
732521;0;18.8;3.21
732522;0;19;3.25
732523;0;19.6;3.4
732524;0;21;3.75
732525;0;19.4;3.33
732526;0;21.6;3.9
732527;0;22.6;4.16
732528;0;25.8;5.04
732529;0;27.2;5.48
732530;0;28.4;5.84
732531;0;30.6;6.4
732532;0;28.7;5.9
732533;0;22;3.94
732534;0;18;2.93
732535;0;18.8;3.11
732536;0;21.3;3.73
732537;0;23.8;4.38
732538;0;26.9;5.26
732539;0;27.2;5.35
732540;0;25.4;4.79
732541;0;23.2;4.18
732542;0;21.8;3.8
732543;0.5;21.3;3.67
732544;0;22.8;4.04
732545;0;21.8;3.77
732546;0;20.2;3.36
732547;0;21.9;3.78
732548;0;23.4;4.15
732549;0;23.9;4.27
732550;0;22.4;3.87
732551;0;22.8;3.96
732552;0;24.3;4.34
732553;0;24;4.25
732554;0;24.1;4.26
732555;0;23.4;4.07
732556;0;21.2;3.51
732557;0;21.6;3.6
732558;0;24;4.19
732559;0;25.2;4.48
732560;0;21.8;3.61
732561;2.6;15.8;2.24
732562;13;15;2.07
732563;0;16.2;2.31
732564;0;17.4;2.56
732565;0;17;2.47
732566;0;15.8;2.21
732567;0;16.3;2.3
732568;0;17.1;2.46
732569;0;17.9;2.63
732570;0;22.2;3.59
732571;0.2;17.2;2.46
732572;0.2;14.4;1.89
732573;0;14.6;1.92
732574;0;17;2.4
732575;0;17.8;2.55
732576;0;18.4;2.67
732577;0;19.6;2.92
732578;0;18.8;2.74
732579;0;17.8;2.52
732580;0;17.7;2.49
732581;0;17.7;2.48
732582;0;18.4;2.62
732583;0;17.6;2.45
732584;0;18.8;2.69
732585;0;21.3;3.22
732586;0;19.8;2.88
732587;0;20.9;3.11
732588;0;17.7;2.43
732589;0;16.3;2.14
732590;0;17.6;2.39
732591;0;18.4;2.54
732592;0;18.6;2.57
732593;0;19.3;2.71
732594;0.4;18.5;2.54
732595;2.7;17.1;2.25
732596;44.4;14.8;1.81
732597;54.1;13.6;1.6
732598;0;10.2;1.04
732599;0;10.1;1.02
732600;0;11.7;1.27
732601;0;13.8;1.61
732602;13.2;13.8;1.6
732603;0.7;12.4;1.37
732604;0;12.2;1.33
732605;3;12.8;1.42
732606;0.1;13.6;1.55
732607;9.7;13;1.44
732608;2.3;12.5;1.36
732609;0;13.4;1.5
732610;0.7;13.4;1.5
732611;0;15.8;1.9
732612;0;19.2;2.52
732613;0;17.2;2.14
732614;0;17.2;2.13
732615;15.3;15.6;1.84
732616;3.7;10.9;1.08
732617;0;12;1.24
732618;0;13.8;1.52
732619;0;13.6;1.48
732620;1.6;9.8;0.91
732621;0;8.6;0.75
732622;0;11;1.08
732623;0;11.5;1.15
732624;0;11.4;1.13
732625;0;8.4;0.72
732626;0;6.9;0.54
732627;0;6.9;0.53
732628;4.6;7.6;0.61
732629;2.2;4.2;0.26
732630;23.4;3.6;0.2
732631;10.7;5.6;0.39
732632;0;8.4;0.7
732633;0;8.4;0.7
732634;3.1;7.9;0.64
732635;0;10.6;0.98
732636;0;12;1.18
732637;2.2;12.2;1.2
732638;2;11.8;1.14
732639;0.8;9;0.76
732640;0;8.4;0.69
732641;0.2;5.8;0.4
732642;13.4;4.4;0.26
732643;1.2;2.6;0.12
732644;2.3;5.4;0.36
732645;0;5;0.32
732646;0;4;0.23
732647;0.2;4.8;0.3
732648;109.1;5.37;0.35
732649;14;5.93;0.41
732650;1.1;6.5;0.46
732651;9.1;7;0.52
732652;0;7.6;0.58
732653;0;8.2;0.65
732654;0;8.8;0.72
732655;0;9.5;0.81
732656;0;6.7;0.48
732657;0;5.4;0.35
732658;0;4.4;0.26
732659;0;4.2;0.24
732660;0;4;0.22
732661;0;6.6;0.47
732662;0;6.2;0.43
732663;0;6;0.41
732664;0;7.6;0.58
732665;0;6.8;0.49
732666;0;8;0.62
732667;0;7.8;0.6
732668;0;8.2;0.64
732669;0;8.1;0.63
732670;0;7.9;0.61
732671;4.4;7.8;0.6
732672;24.4;9.1;0.75
732673;2.2;8.5;0.68
732674;0;7.5;0.56
732675;0;6.2;0.43
732676;0;7.1;0.52
732677;0;7.6;0.58
732678;4.1;7.4;0.53
732679;0;4.7;0.27
732680;0;5.6;0.35
732681;0;4.6;0.26
732682;0;4.7;0.27
732683;17.4;4.4;0.25
732684;0;3.7;0.19
732685;0;4;0.21
732686;0;5.2;0.32
732687;0.1;5.4;0.34
732688;0;5.5;0.35
732689;0;5.7;0.37
732690;1;5.8;0.38
732691;3.2;5.5;0.35
732692;18.1;5.1;0.31
732693;11.4;4.8;0.28
732694;0;5.6;0.36
732695;0;6.1;0.41
732696;0;7.7;0.58
732697;0;8.6;0.69
732698;0;6.8;0.49
732699;0;6.6;0.47
732700;0;6.6;0.47
732701;0;4.9;0.3
732702;0;5.5;0.36
732703;2.1;7;0.51
732704;32.6;6;0.41
732705;21.1;5;0.31
732706;13.5;4;0.22
732707;12.4;3;0.15
732708;0;5.4;0.35
732709;0;6.8;0.5
732710;0;6.5;0.47
732711;15.6;5.5;0.37
732712;0;5.4;0.36
732713;0;5.6;0.38
732714;0;5.5;0.37
732715;0;8.3;0.69
732716;1.1;7.5;0.59
732717;0.2;10.2;0.94
732718;1.7;12.2;1.24
732719;0;10.6;1.01
732720;0.1;8;0.66
732721;0;8;0.66
732722;0;9.6;0.87
732723;0;8;0.67
732724;26.8;7;0.55
732725;11;6.1;0.45
732726;7.8;6.6;0.5
732727;46.7;5.2;0.35
732728;12.7;4;0.24
732729;3.4;3.6;0.2
732730;8.2;1.6;0.06
732731;3.7;1.6;0.06
732732;0;2;0.09
732733;31.5;3.8;0.22
732734;16.1;4.6;0.3
732735;0;4.8;0.32
732736;0;5.9;0.44
732737;3.1;6.4;0.5
732738;0;6.3;0.49
732739;1;5.4;0.39
732740;48.8;6.4;0.5
732741;17.7;3.8;0.23
732742;0;4.6;0.31
732743;0;7.8;0.69
732744;0;11;1.16
732745;0;8.8;0.83
732746;0;9.2;0.89
732747;0;8.6;0.81
732748;0;13.4;1.58
732749;0;13;1.51
732750;0;11.6;1.28
732751;0;11.6;1.28
732752;0;9.4;0.94
732753;20;10.2;1.06
732754;32.2;9;0.88
732755;46.5;7.6;0.69
732756;29.7;7.8;0.72
732757;28.3;7.2;0.64
732758;0.6;7.4;0.67
732759;0;10.4;1.12
732760;27.4;10.2;1.09
732761;0;11.4;1.29
732762;0;17.2;2.41
732763;0;15.6;2.08
732764;0;10.6;1.17
732765;0;10.9;1.22
732766;0;15.9;2.17
732767;0;16;2.19
732768;0;12.3;1.48
732769;0;15.5;2.1
732770;0;19.6;3
732771;0;15.2;2.06
732772;8.2;9.8;1.07
732773;4.6;10;1.1
732774;1.7;9.8;1.07
732775;0;12.7;1.59
732776;0;13.6;1.77
732777;0;12.9;1.64
732778;0;11.8;1.44
732779;1.8;11;1.3
732780;0.1;12.1;1.5
732781;11.2;16.3;2.35
732782;11.8;11.2;1.34
732783;0;11;1.31
732784;0;9;0.97
732785;0;10.8;1.28
732786;0;11.8;1.47
732787;0;11;1.33
732788;3.1;11.4;1.4
732789;0.4;9.8;1.12
732790;19.6;9.9;1.14
732791;7.5;12.2;1.57
732792;0;14.8;2.1
732793;0;15.6;2.28
732794;0;17.9;2.81
732795;0;14.8;2.12
732796;0;13.9;1.93
732797;0;14.8;2.13
732798;0;14.4;2.05
732799;0;16.8;2.59
732800;16.4;10.3;1.24
732801;7.6;11.5;1.47
732802;0;13;1.77
732803;0;12.9;1.76
732804;0;14.2;2.03
732805;0;14.4;2.08
732806;0;16.7;2.61
732807;0;16.2;2.5
732808;0.3;15.7;2.39
732809;0;16.1;2.48
732810;0;18.3;3.02
732811;0;18.8;3.15
732812;0;19.2;3.26
732813;0;24.2;4.62
732814;0;26.4;5.28
732815;0;21;3.75
732816;0;19.7;3.41
732817;0;17.7;2.91
732818;0;18;2.99
732819;0;13.4;1.92
732820;0;13.3;1.9
732821;0;13.8;2.01
732822;0;15;2.29
732823;0;14.9;2.27
732824;0;18.8;3.22
732825;0;22.7;4.28
732826;0;22.2;4.15
732827;0;16;2.54
732828;0;16.1;2.57
732829;0;14.8;2.26
732830;0;16.7;2.72
732831;0;18.8;3.25
732832;0;16.4;2.65
732833;0;19.7;3.49
732834;0;21.7;4.05
732835;0;25.9;5.28
732836;0;27.6;5.87
732837;0;20.6;3.75
732838;0;19;3.32
732839;0;19.6;3.48
732840;0;20.2;3.65
732841;0.8;20.5;3.73
732842;0;18.4;3.17
732843;1.6;15.9;2.55
732844;3.1;15;2.33
732845;0.2;15.2;2.38
732846;0;17.1;2.85
732847;0;21;3.88
732848;0;20.9;3.85
732849;0;21.9;4.13
732850;0;24.5;4.89
732851;0;23.2;4.5
732852;0;18.5;3.2
732853;0;17.4;2.92
732854;0;17.8;3.02
732855;0;15.7;2.5
732856;0;15.8;2.52
732857;0;17.4;2.92
732858;0;20.3;3.68
732859;0;20.4;3.7
732860;0;19.1;3.35
732861;0;19.2;3.37
732862;0;18.9;3.29
732863;0;19.2;3.37
732864;0;21;3.85
732865;0;22.6;4.3
732866;0;22.4;4.24
732867;0;26.7;5.53
732868;0;28.5;6.13
732869;0;28.6;6.15
732870;1.1;23.2;4.45
732871;0.1;23;4.38
732872;0;25;4.96
732873;0;25;4.96
732874;0;26.8;5.52
732875;0;27.6;5.79
732876;0.8;24.5;4.79
732877;0;23.3;4.43
732878;0;23;4.34
732879;0;24.9;4.88
732880;0;24.7;4.82
732881;0;25.2;4.96
732882;0;22.8;4.26
732883;0;23.5;4.45
732884;0;24.5;4.72
732885;0;23;4.29
732886;0;22.2;4.06
732887;0;23.4;4.38
732888;0;24.8;4.77
732889;0;25.7;5.03
732890;0;24.7;4.72
732891;0;25.1;4.83
732892;0;23.4;4.34
732893;0;24.2;4.55
732894;0;24.6;4.65
732895;0;25.3;4.84
732896;0;25;4.75
732897;0;23.4;4.29
732898;0;23.2;4.22
732899;0;25.6;4.88
732900;0;24.6;4.59
732901;0;23.8;4.35
732902;0;22.8;4.07
732903;0;19.8;3.28
732904;0;17.5;2.72
732905;0;15;2.15
732906;24.1;14.6;2.06
732907;0;15.2;2.18
732908;0;16.1;2.37
732909;0;20.6;3.43
732910;0;22.2;3.83
732911;0;23.7;4.21
732912;0;22.4;3.86
732913;0;23.8;4.22
732914;0;23.8;4.2
732915;0;23.6;4.14
732916;0;24.1;4.26
732917;0;24.8;4.43
732918;0;26.4;4.86
732919;0;26.8;4.97
732920;0;25.6;4.61
732921;0;24.8;4.38
732922;0;26.3;4.77
732923;0;27.4;5.1
732924;0;25.4;4.5
732925;0;24.3;4.2
732926;0;23.8;4.06
732927;0;22.6;3.74
732928;0;23.8;4.03
732929;0;24.3;4.15
732930;0;23.4;3.9
732931;4.1;22.2;3.6
732932;0.1;18.2;2.66
732933;0;17.2;2.43
732934;42;13.7;1.72
732935;0;13.7;1.72
732936;0;14;1.77
732937;0;17.2;2.4
732938;0;19.4;2.87
732939;0;20.2;3.04
732940;0;21.8;3.4
732941;9.9;17.2;2.37
732942;0;14.4;1.81
732943;0;12.8;1.51
732944;0;14.4;1.8
732945;0;17.5;2.4
732946;0;19;2.71
732947;0;19;2.7
732948;0;16.3;2.14
732949;0;17.4;2.35
732950;0;16.4;2.14
732951;0;18.6;2.58
732952;0;22.3;3.38
732953;0;16.4;2.12
732954;0;13.8;1.63
732955;0;14.8;1.8
732956;0;16.7;2.16
732957;0;18;2.4
732958;0;18.6;2.52
732959;0;20;2.8
732960;0;17.4;2.26
732961;0;16.2;2.02
732962;0;16.6;2.09
732963;0;15.9;1.96
732964;0;17.5;2.25
732965;0;15.4;1.85
732966;0;16.3;2.01
732967;10.3;15.2;1.8
732968;18.5;13.7;1.54
732969;14.6;13.6;1.51
732970;42;13.6;1.51
732971;51.3;13.7;1.52
732972;2.9;14.7;1.69
732973;22.6;14.5;1.65
732974;11.9;16.6;2.01
732975;13.2;15.4;1.79
732976;4.1;11.7;1.18
732977;2;13.8;1.51
732978;0;18.7;2.37
732979;0;22;3.02
732980;0;17.4;2.12
732981;0;17.6;2.15
732982;0;16.6;1.96
732983;4.6;16;1.85
732984;12.7;15.4;1.74
732985;0;15.4;1.73
732986;0;14.8;1.63
732987;11.2;14.6;1.59
732988;18.9;12.6;1.27
732989;6.5;13.1;1.34
732990;0;13;1.32
732991;0;12.6;1.26
732992;0;12.6;1.26
732993;0;12.5;1.24
732994;0;12;1.16
732995;0;11.3;1.06
732996;1;13.8;1.43
732997;45.4;10.8;0.98
732998;2.8;7.4;0.56
732999;0;9;0.74
733000;0;10.8;0.98
733001;0;10.6;0.95
733002;0;11.6;1.08
733003;0;10.8;0.97
733004;5.2;11;0.99
733005;0.3;12.6;1.22
733006;14.9;10.5;0.92
733007;0.1;7.5;0.55
733008;0;8.2;0.63
733009;0;10.2;0.88
733010;0;10;0.85
733011;0;10.3;0.89
733012;0;11.4;1.03
733013;26.7;9.4;0.77
733014;0;8.6;0.67
733015;0;9.8;0.82
733016;30.5;8.4;0.65
733017;0;7.4;0.54
733018;3;7.4;0.53
733019;38.9;7.3;0.52
733020;0;4.6;0.26
733021;0;4;0.21
733022;0;6;0.39
733023;0;8.5;0.66
733024;0;7.4;0.53
733025;0;6.7;0.46
733026;0;7.8;0.57
733027;0;7.2;0.51
733028;0;7.8;0.57
733029;0;6.2;0.41
733030;0;3.6;0.18
733031;0;2;0.07
733032;0;3;0.14
733033;0;4.8;0.28
733034;0;2.4;0.1
733035;0;4.2;0.23
733036;0;5.2;0.31
733037;0;8;0.6
733038;0;8.6;0.67
733039;0;7.6;0.55
733040;0;7.4;0.53
733041;0;8.2;0.62
733042;0;10;0.84
733043;0;10.8;1.04
733044;0;11.4;1.13
733045;0;11.8;1.18
733046;0.1;10.2;0.97
733047;0;9.1;0.83
733048;0;8.2;0.72
733049;0;7.8;0.67
733050;0;7;0.58
733051;0;9.3;0.86
733052;0;8.4;0.74
733053;0;9.8;0.92
733054;0;11.5;1.16
733055;0;12.8;1.34
733056;0;11.4;1.15
733057;0;8.6;0.78
733058;0;7.1;0.6
733059;0;9;0.83
733060;0;9.8;0.94
733061;0;12.6;1.33
733062;0;11.1;1.12
733063;0;8.8;0.81
